2025-09-15 15:59:33 | INFO | __main__:main:56 | Biopartnering Insights Pipeline starting...
2025-09-15 15:59:33 | INFO | __main__:run_data_collection:36 | Starting Biopartnering Insights data collection pipeline
2025-09-15 15:59:33 | INFO | __main__:run_data_collection:40 | Database tables created/verified
2025-09-15 15:59:33 | ERROR | __main__:main:69 | Error in main application: DataCollectionOrchestrator.run_full_collection() missing 1 required positional argument: 'sources'
2025-09-15 15:59:52 | INFO | __main__:main:56 | Biopartnering Insights Pipeline starting...
2025-09-15 15:59:52 | INFO | __main__:run_data_collection:36 | Starting Biopartnering Insights data collection pipeline
2025-09-15 15:59:52 | INFO | __main__:run_data_collection:40 | Database tables created/verified
2025-09-15 15:59:52 | ERROR | __main__:main:69 | Error in main application: DataCollectionOrchestrator.run_full_collection() missing 1 required positional argument: 'sources'
2025-09-15 16:00:06 | INFO | __main__:main:57 | Biopartnering Insights Pipeline starting...
2025-09-15 16:00:06 | INFO | __main__:run_data_collection:36 | Starting Biopartnering Insights data collection pipeline
2025-09-15 16:00:06 | INFO | __main__:run_data_collection:40 | Database tables created/verified
2025-09-15 16:00:06 | INFO | src.data_collection.orchestrator:run_full_collection:29 | Starting collection from clinical_trials
2025-09-15 16:00:07 | ERROR | src.data_collection.base_collector:_make_request:104 | Request failed for https://clinicaltrials.gov/api/v2/studies: 400 Client Error: Bad Request for url: https://clinicaltrials.gov/api/v2/studies?format=json&pageSize=10&query.cond=cancer+OR+oncology+OR+tumor+OR+neoplasm+OR+carcinoma+OR+sarcoma+OR+lymphoma+OR+leukemia&query.phase=PHASE1+OR+PHASE2+OR+PHASE3
2025-09-15 16:00:07 | INFO | src.data_collection.orchestrator:run_full_collection:55 | ✅ Collected 0 documents from clinical_trials
2025-09-15 16:00:07 | INFO | src.data_collection.orchestrator:run_full_collection:29 | Starting collection from fda
2025-09-15 16:00:07 | INFO | src.data_collection.fda_collector:collect_data:25 | Starting comprehensive FDA data collection for 2 data types
2025-09-15 16:00:07 | INFO | src.data_collection.fda_collector:collect_data:29 | Collecting drug_approvals data...
2025-09-15 16:00:07 | INFO | src.data_collection.fda_collector:_collect_comprehensive_drug_approvals:126 | Collecting comprehensive FDA drug approvals...
2025-09-15 16:00:07 | INFO | src.data_collection.fda_collector:_collect_comprehensive_drug_approvals:143 | ✅ Collected comprehensive FDA approvals: 30 entries
2025-09-15 16:00:07 | INFO | src.data_collection.fda_collector:collect_data:47 | ✅ Completed drug_approvals collection: 30 documents
2025-09-15 16:00:07 | INFO | src.data_collection.fda_collector:collect_data:29 | Collecting adverse_events data...
2025-09-15 16:00:07 | INFO | src.data_collection.fda_collector:_collect_adverse_events:395 | Collecting FDA adverse events...
2025-09-15 16:00:08 | INFO | src.data_collection.fda_collector:_collect_adverse_events:428 | ✅ Collected adverse event: RITUXIMAB
2025-09-15 16:00:08 | INFO | src.data_collection.fda_collector:_collect_adverse_events:428 | ✅ Collected adverse event: ASCIMINIB
2025-09-15 16:00:08 | INFO | src.data_collection.fda_collector:_collect_adverse_events:428 | ✅ Collected adverse event: DUPIXENT
2025-09-15 16:00:08 | INFO | src.data_collection.fda_collector:_collect_adverse_events:428 | ✅ Collected adverse event: DUPIXENT
2025-09-15 16:00:08 | INFO | src.data_collection.fda_collector:_collect_adverse_events:428 | ✅ Collected adverse event: DUPIXENT
2025-09-15 16:00:08 | INFO | src.data_collection.fda_collector:_collect_adverse_events:428 | ✅ Collected adverse event: DUPIXENT
2025-09-15 16:00:08 | INFO | src.data_collection.fda_collector:_collect_adverse_events:428 | ✅ Collected adverse event: DUPIXENT
2025-09-15 16:00:08 | INFO | src.data_collection.fda_collector:_collect_adverse_events:428 | ✅ Collected adverse event: LANTUS SOLOSTAR
2025-09-15 16:00:08 | INFO | src.data_collection.fda_collector:_collect_adverse_events:428 | ✅ Collected adverse event: RINVOQ
2025-09-15 16:00:08 | INFO | src.data_collection.fda_collector:_collect_adverse_events:428 | ✅ Collected adverse event: REMICADE
2025-09-15 16:00:08 | INFO | src.data_collection.fda_collector:_collect_adverse_events:428 | ✅ Collected adverse event: SKYRIZI
2025-09-15 16:00:08 | INFO | src.data_collection.fda_collector:_collect_adverse_events:428 | ✅ Collected adverse event: STELARA
2025-09-15 16:00:08 | INFO | src.data_collection.fda_collector:_collect_adverse_events:428 | ✅ Collected adverse event: TRULICITY
2025-09-15 16:00:08 | INFO | src.data_collection.fda_collector:_collect_adverse_events:428 | ✅ Collected adverse event: ZEPBOUND
2025-09-15 16:00:08 | INFO | src.data_collection.fda_collector:_collect_adverse_events:428 | ✅ Collected adverse event: MOUNJARO
2025-09-15 16:00:08 | INFO | src.data_collection.fda_collector:collect_data:47 | ✅ Completed adverse_events collection: 15 documents
2025-09-15 16:00:08 | INFO | src.data_collection.fda_collector:collect_data:52 | 🎉 FDA collection completed: 45 total documents
2025-09-15 16:00:09 | INFO | src.data_collection.base_collector:_save_document:68 | Saved document: https://api.fda.gov/drug/label.json?id=56c6804b-c88c-445c-a8a0-b90ec12166bc
2025-09-15 16:00:09 | INFO | src.data_collection.base_collector:_save_document:68 | Saved document: https://api.fda.gov/drug/label.json?id=3e7753f0-4ef8-e165-e063-6294a90a11db
2025-09-15 16:00:09 | INFO | src.data_collection.base_collector:_save_document:68 | Saved document: https://api.fda.gov/drug/label.json?id=3e7a348f-8c32-9d8e-e063-6394a90a1a9b
